MONTH,TOTAL_REVENUE,PREV_MONTH_REVENUE,REVENUE_CHANGE,MOM_GROWTH_RATE
2024-01-01,171064.688,,,
2024-02-01,141713.716,171064.688,-29350.972,-0.1715782044
2024-03-01,154143.167,141713.716,12429.451,0.08770817216
2024-04-01,165766.518,154143.167,11623.351,0.07540620338
2024-05-01,152465.531,165766.518,-13300.987,-0.08023928572
2024-06-01,156558.961,152465.531,4093.43,0.02684823234
2024-07-01,174781.697,156558.961,18222.736,0.116395356
2024-08-01,155324.177,174781.697,-19457.52,-0.1113247001
2024-09-01,158873.962,155324.177,3549.785,0.0228540403
2024-10-01,163372.49,158873.962,4498.528,0.02831507406
2024-11-01,212492.794,163372.49,49120.304,0.3006644754
2024-12-01,175356.419,212492.794,-37136.375,-0.1747653382
